cps_pcode,country_iso_alpha_3_code,country_name,admin_level,admin_level_name,place_name,pcode
COL-05585,COL,Colombia,2,Municipality,Puerto Nare,5585
COL-05591,COL,Colombia,2,Municipality,Puerto Triunfo,5591
COL-05604,COL,Colombia,2,Municipality,Remedios,5604
COL-05607,COL,Colombia,2,Municipality,Retiro,5607
COL-05615,COL,Colombia,2,Municipality,Rionegro,5615
COL-05628,COL,Colombia,2,Municipality,Sabanalarga,5628
COL-05631,COL,Colombia,2,Municipality,Sabaneta,5631
COL-05642,COL,Colombia,2,Municipality,Salgar,5642
COL-05647,COL,Colombia,2,Municipality,San Andrés de Cuerquía,5647
COL-05649,COL,Colombia,2,Municipality,San Carlos,5649
COL-05652,COL,Colombia,2,Municipality,San Francisco,5652
COL-05656,COL,Colombia,2,Municipality,San Jerónimo,5656
COL-05658,COL,Colombia,2,Municipality,San José de La Montaña,5658
COL-05659,COL,Colombia,2,Municipality,San Juan de Urabá,5659
COL-05660,COL,Colombia,2,Municipality,San Luis,5660
COL-05664,COL,Colombia,2,Municipality,San Pedro,5664
COL-05665,COL,Colombia,2,Municipality,San Pedro de Uraba,5665
COL-05667,COL,Colombia,2,Municipality,San Rafael,5667
COL-05670,COL,Colombia,2,Municipality,San Roque,5670
COL-05674,COL,Colombia,2,Municipality,San Vicente,5674
COL-05679,COL,Colombia,2,Municipality,Santa Bárbara,5679
COL-05686,COL,Colombia,2,Municipality,Santa Rosa de Osos,5686
COL-05690,COL,Colombia,2,Municipality,Santo Domingo,5690
COL-05697,COL,Colombia,2,Municipality,El Santuario,5697
COL-05736,COL,Colombia,2,Municipality,Segovia,5736
COL-05756,COL,Colombia,2,Municipality,Sonson,5756
COL-05761,COL,Colombia,2,Municipality,Sopetrán,5761
COL-05789,COL,Colombia,2,Municipality,Támesis,5789
COL-05790,COL,Colombia,2,Municipality,Tarazá,5790
COL-05792,COL,Colombia,2,Municipality,Tarso,5792
COL-05809,COL,Colombia,2,Municipality,Titiribí,5809
COL-05819,COL,Colombia,2,Municipality,Toledo,5819
COL-05837,COL,Colombia,2,Municipality,Turbo,5837
COL-05842,COL,Colombia,2,Municipality,Uramita,5842
COL-05847,COL,Colombia,2,Municipality,Urrao,5847
COL-05854,COL,Colombia,2,Municipality,Valdivia,5854
COL-05856,COL,Colombia,2,Municipality,Valparaíso,5856
COL-05858,COL,Colombia,2,Municipality,Vegachí,5858
COL-05861,COL,Colombia,2,Municipality,Venecia,5861
COL-05873,COL,Colombia,2,Municipality,Vigía del Fuerte,5873
COL-05885,COL,Colombia,2,Municipality,Yalí,5885
COL-05887,COL,Colombia,2,Municipality,Yarumal,5887
COL-05890,COL,Colombia,2,Municipality,Yolombó,5890
COL-05893,COL,Colombia,2,Municipality,Yondó,5893
COL-05895,COL,Colombia,2,Municipality,Zaragoza,5895
COL-08001,COL,Colombia,2,Municipality,Barranquilla,8001
COL-08078,COL,Colombia,2,Municipality,Baranoa,8078
COL-08137,COL,Colombia,2,Municipality,Campo de La Cruz,8137
COL-08141,COL,Colombia,2,Municipality,Candelaria,8141
COL-08296,COL,Colombia,2,Municipality,Galapa,8296
COL-08372,COL,Colombia,2,Municipality,Juan de Acosta,8372
COL-08421,COL,Colombia,2,Municipality,Luruaco,8421
COL-08433,COL,Colombia,2,Municipality,Malambo,8433
COL-08436,COL,Colombia,2,Municipality,Manatí,8436
COL-08520,COL,Colombia,2,Municipality,Palmar de Varela,8520
COL-08549,COL,Colombia,2,Municipality,Piojó,8549
COL-08558,COL,Colombia,2,Municipality,Polonuevo,8558
COL-08560,COL,Colombia,2,Municipality,Ponedera,8560
COL-08573,COL,Colombia,2,Municipality,Puerto Colombia,8573
COL-08606,COL,Colombia,2,Municipality,Repelón,8606
COL-08634,COL,Colombia,2,Municipality,Sabanagrande,8634
COL-08638,COL,Colombia,2,Municipality,Sabanalarga,8638
COL-08675,COL,Colombia,2,Municipality,Santa Lucía,8675
COL-08685,COL,Colombia,2,Municipality,Santo Tomás,8685
COL-08758,COL,Colombia,2,Municipality,Soledad,8758
COL-08770,COL,Colombia,2,Municipality,Suan,8770
COL-08832,COL,Colombia,2,Municipality,Tubará,8832
COL-08849,COL,Colombia,2,Municipality,Usiacurí,8849
COL-11001,COL,Colombia,2,Municipality,"Bogotá, D.C.",11001
COL-13001,COL,Colombia,2,Municipality,Cartagena,13001
COL-13006,COL,Colombia,2,Municipality,Achí,13006
COL-13030,COL,Colombia,2,Municipality,Altos del Rosario,13030
COL-13042,COL,Colombia,2,Municipality,Arenal,13042
COL-13052,COL,Colombia,2,Municipality,Arjona,13052
COL-13062,COL,Colombia,2,Municipality,Arroyohondo,13062
COL-13074,COL,Colombia,2,Municipality,Barranco de Loba,13074
COL-13140,COL,Colombia,2,Municipality,Calamar,13140
COL-13160,COL,Colombia,2,Municipality,Cantagallo,13160
COL-13188,COL,Colombia,2,Municipality,Cicuco,13188
COL-13212,COL,Colombia,2,Municipality,Córdoba,13212
COL-13222,COL,Colombia,2,Municipality,Clemencia,13222
COL-13244,COL,Colombia,2,Municipality,El Carmen de Bolívar,13244
COL-13248,COL,Colombia,2,Municipality,El Guamo,13248
COL-13268,COL,Colombia,2,Municipality,El Peñón,13268
COL-13300,COL,Colombia,2,Municipality,Hatillo de Loba,13300
COL-13430,COL,Colombia,2,Municipality,Magangué,13430
COL-13433,COL,Colombia,2,Municipality,Mahates,13433
COL-13440,COL,Colombia,2,Municipality,Margarita,13440
COL-13442,COL,Colombia,2,Municipality,María La Baja,13442
COL-13458,COL,Colombia,2,Municipality,Montecristo,13458
COL-13468,COL,Colombia,2,Municipality,Mompós,13468
COL-13473,COL,Colombia,2,Municipality,Morales,13473
COL-13490,COL,Colombia,2,Municipality,Norosí,13490
COL-13549,COL,Colombia,2,Municipality,Pinillos,13549
COL-13580,COL,Colombia,2,Municipality,Regidor,13580
COL-13600,COL,Colombia,2,Municipality,Río Viejo,13600
COL-13620,COL,Colombia,2,Municipality,San Cristóbal,13620
COL-13647,COL,Colombia,2,Municipality,San Estanislao,13647
COL-13650,COL,Colombia,2,Municipality,San Fernando,13650
COL-13654,COL,Colombia,2,Municipality,San Jacinto,13654
COL-13655,COL,Colombia,2,Municipality,San Jacinto del Cauca,13655
COL-13657,COL,Colombia,2,Municipality,San Juan Nepomuceno,13657
COL-13667,COL,Colombia,2,Municipality,San Martín de Loba,13667
COL-13670,COL,Colombia,2,Municipality,San Pablo,13670
COL-13673,COL,Colombia,2,Municipality,Santa Catalina,13673
COL-13683,COL,Colombia,2,Municipality,Santa Rosa,13683
COL-13688,COL,Colombia,2,Municipality,Santa Rosa del Sur,13688
COL-13744,COL,Colombia,2,Municipality,Simití,13744
COL-13760,COL,Colombia,2,Municipality,Soplaviento,13760
COL-13780,COL,Colombia,2,Municipality,Talaigua Nuevo,13780
COL-13810,COL,Colombia,2,Municipality,Tiquisio,13810
COL-13836,COL,Colombia,2,Municipality,Turbaco,13836
COL-13838,COL,Colombia,2,Municipality,Turbaná,13838
COL-13873,COL,Colombia,2,Municipality,Villanueva,13873
COL-13894,COL,Colombia,2,Municipality,Zambrano,13894
COL-15001,COL,Colombia,2,Municipality,Tunja,15001
COL-15022,COL,Colombia,2,Municipality,Almeida,15022
COL-15047,COL,Colombia,2,Municipality,Aquitania,15047
COL-15051,COL,Colombia,2,Municipality,Arcabuco,15051
COL-15087,COL,Colombia,2,Municipality,Belén,15087
COL-15090,COL,Colombia,2,Municipality,Berbeo,15090
COL-15092,COL,Colombia,2,Municipality,Betéitiva,15092
COL-15097,COL,Colombia,2,Municipality,Boavita,15097
COL-15104,COL,Colombia,2,Municipality,Boyacá,15104
COL-15106,COL,Colombia,2,Municipality,Briceño,15106
COL-15109,COL,Colombia,2,Municipality,Buenavista,15109
COL-15114,COL,Colombia,2,Municipality,Busbanzá,15114
COL-15131,COL,Colombia,2,Municipality,Caldas,15131
COL-15135,COL,Colombia,2,Municipality,Campohermoso,15135
COL-15162,COL,Colombia,2,Municipality,Cerinza,15162
COL-15172,COL,Colombia,2,Municipality,Chinavita,15172
COL-15176,COL,Colombia,2,Municipality,Chiquinquirá,15176
COL-15180,COL,Colombia,2,Municipality,Chiscas,15180
COL-15183,COL,Colombia,2,Municipality,Chita,15183
COL-15185,COL,Colombia,2,Municipality,Chitaraque,15185
COL-15187,COL,Colombia,2,Municipality,Chivatá,15187
COL-15189,COL,Colombia,2,Municipality,Ciénega,15189
COL-15204,COL,Colombia,2,Municipality,Cómbita,15204
COL-15212,COL,Colombia,2,Municipality,Coper,15212
COL-15215,COL,Colombia,2,Municipality,Corrales,15215
COL-15218,COL,Colombia,2,Municipality,Covarachía,15218
COL-15223,COL,Colombia,2,Municipality,Cubará,15223
COL-15224,COL,Colombia,2,Municipality,Cucaita,15224
COL-15226,COL,Colombia,2,Municipality,Cuítiva,15226
COL-15232,COL,Colombia,2,Municipality,Chíquiza,15232
COL-15236,COL,Colombia,2,Municipality,Chivor,15236
COL-15238,COL,Colombia,2,Municipality,Duitama,15238
COL-15244,COL,Colombia,2,Municipality,El Cocuy,15244
COL-15248,COL,Colombia,2,Municipality,El Espino,15248
COL-15272,COL,Colombia,2,Municipality,Firavitoba,15272
COL-15276,COL,Colombia,2,Municipality,Floresta,15276
COL-15293,COL,Colombia,2,Municipality,Gachantivá,15293
COL-15296,COL,Colombia,2,Municipality,Gameza,15296
COL-15299,COL,Colombia,2,Municipality,Garagoa,15299
COL-15317,COL,Colombia,2,Municipality,Guacamayas,15317
COL-15322,COL,Colombia,2,Municipality,Guateque,15322
COL-15325,COL,Colombia,2,Municipality,Guayatá,15325
COL-15332,COL,Colombia,2,Municipality,Güicán,15332
COL-15362,COL,Colombia,2,Municipality,Iza,15362
COL-15367,COL,Colombia,2,Municipality,Jenesano,15367
COL-15368,COL,Colombia,2,Municipality,Jericó,15368
COL-15377,COL,Colombia,2,Municipality,Labranzagrande,15377
COL-15380,COL,Colombia,2,Municipality,La Capilla,15380
COL-15401,COL,Colombia,2,Municipality,La Victoria,15401
COL-15403,COL,Colombia,2,Municipality,La Uvita,15403
COL-15407,COL,Colombia,2,Municipality,Villa de Leyva,15407
COL-15425,COL,Colombia,2,Municipality,Macanal,15425
COL-15442,COL,Colombia,2,Municipality,Maripí,15442
COL-15455,COL,Colombia,2,Municipality,Miraflores,15455
COL-15464,COL,Colombia,2,Municipality,Mongua,15464
COL-15466,COL,Colombia,2,Municipality,Monguí,15466
COL-15469,COL,Colombia,2,Municipality,Moniquirá,15469
COL-15476,COL,Colombia,2,Municipality,Motavita,15476
COL-15480,COL,Colombia,2,Municipality,Muzo,15480
COL-15491,COL,Colombia,2,Municipality,Nobsa,15491
COL-15494,COL,Colombia,2,Municipality,Nuevo Colón,15494
COL-15500,COL,Colombia,2,Municipality,Oicatá,15500
COL-15507,COL,Colombia,2,Municipality,Otanche,15507
COL-15511,COL,Colombia,2,Municipality,Pachavita,15511
COL-15514,COL,Colombia,2,Municipality,Páez,15514
COL-15516,COL,Colombia,2,Municipality,Paipa,15516
COL-15518,COL,Colombia,2,Municipality,Pajarito,15518
COL-15522,COL,Colombia,2,Municipality,Panqueba,15522
COL-15531,COL,Colombia,2,Municipality,Pauna,15531
COL-15533,COL,Colombia,2,Municipality,Paya,15533
COL-15537,COL,Colombia,2,Municipality,Paz de Río,15537
COL-15542,COL,Colombia,2,Municipality,Pesca,15542
COL-15550,COL,Colombia,2,Municipality,Pisba,15550
COL-15572,COL,Colombia,2,Municipality,Puerto Boyacá,15572
COL-15580,COL,Colombia,2,Municipality,Quípama,15580
COL-15599,COL,Colombia,2,Municipality,Ramiriquí,15599
COL-15600,COL,Colombia,2,Municipality,Ráquira,15600
COL-15621,COL,Colombia,2,Municipality,Rondón,15621
COL-15632,COL,Colombia,2,Municipality,Saboyá,15632
COL-15638,COL,Colombia,2,Municipality,Sáchica,15638
COL-15646,COL,Colombia,2,Municipality,Samacá,15646
COL-15660,COL,Colombia,2,Municipality,San Eduardo,15660
COL-15664,COL,Colombia,2,Municipality,San José de Pare,15664
COL-15667,COL,Colombia,2,Municipality,San Luis de Gaceno,15667
COL-15673,COL,Colombia,2,Municipality,San Mateo,15673
COL-15676,COL,Colombia,2,Municipality,San Miguel de Sema,15676
COL-15681,COL,Colombia,2,Municipality,San Pablo de Borbur,15681
COL-15686,COL,Colombia,2,Municipality,Santana,15686
COL-15690,COL,Colombia,2,Municipality,Santa María,15690
COL-15693,COL,Colombia,2,Municipality,Santa Rosa de Viterbo,15693
COL-15696,COL,Colombia,2,Municipality,Santa Sofía,15696
COL-15720,COL,Colombia,2,Municipality,Sativanorte,15720
COL-15723,COL,Colombia,2,Municipality,Sativasur,15723
COL-15740,COL,Colombia,2,Municipality,Siachoque,15740
COL-15753,COL,Colombia,2,Municipality,Soatá,15753
COL-15755,COL,Colombia,2,Municipality,Socotá,15755
COL-15757,COL,Colombia,2,Municipality,Socha,15757
COL-15759,COL,Colombia,2,Municipality,Sogamoso,15759
COL-15761,COL,Colombia,2,Municipality,Somondoco,15761
COL-15762,COL,Colombia,2,Municipality,Sora,15762
COL-15763,COL,Colombia,2,Municipality,Sotaquirá,15763
COL-15764,COL,Colombia,2,Municipality,Soracá,15764
COL-15774,COL,Colombia,2,Municipality,Susacón,15774
COL-15776,COL,Colombia,2,Municipality,Sutamarchán,15776
COL-15778,COL,Colombia,2,Municipality,Sutatenza,15778
COL-15790,COL,Colombia,2,Municipality,Tasco,15790
COL-15798,COL,Colombia,2,Municipality,Tenza,15798
COL-15804,COL,Colombia,2,Municipality,Tibaná,15804
COL-15806,COL,Colombia,2,Municipality,Tibasosa,15806
COL-15808,COL,Colombia,2,Municipality,Tinjacá,15808
COL-15810,COL,Colombia,2,Municipality,Tipacoque,15810
COL-15814,COL,Colombia,2,Municipality,Toca,15814
COL-15816,COL,Colombia,2,Municipality,Togüí,15816
COL-15820,COL,Colombia,2,Municipality,Tópaga,15820
COL-15822,COL,Colombia,2,Municipality,Tota,15822
COL-15832,COL,Colombia,2,Municipality,Tununguá,15832
COL-15835,COL,Colombia,2,Municipality,Turmequé,15835
COL-15837,COL,Colombia,2,Municipality,Tuta,15837
COL-15839,COL,Colombia,2,Municipality,Tutazá,15839
COL-15842,COL,Colombia,2,Municipality,Umbita,15842
COL-15861,COL,Colombia,2,Municipality,Ventaquemada,15861
COL-15879,COL,Colombia,2,Municipality,Viracachá,15879
COL-15897,COL,Colombia,2,Municipality,Zetaquira,15897
COL-17001,COL,Colombia,2,Municipality,Manizales,17001
COL-17013,COL,Colombia,2,Municipality,Aguadas,17013
COL-17042,COL,Colombia,2,Municipality,Anserma,17042
COL-17050,COL,Colombia,2,Municipality,Aranzazu,17050
COL-17088,COL,Colombia,2,Municipality,Belalcázar,17088
COL-17174,COL,Colombia,2,Municipality,Chinchiná,17174
COL-17272,COL,Colombia,2,Municipality,Filadelfia,17272
COL-17380,COL,Colombia,2,Municipality,La Dorada,17380
COL-17388,COL,Colombia,2,Municipality,La Merced,17388
COL-17433,COL,Colombia,2,Municipality,Manzanares,17433
COL-17442,COL,Colombia,2,Municipality,Marmato,17442
COL-17444,COL,Colombia,2,Municipality,Marquetalia,17444
COL-17446,COL,Colombia,2,Municipality,Marulanda,17446
COL-17486,COL,Colombia,2,Municipality,Neira,17486
COL-17495,COL,Colombia,2,Municipality,Norcasia,17495
COL-17513,COL,Colombia,2,Municipality,Pácora,17513
COL-17524,COL,Colombia,2,Municipality,Palestina,17524
COL-17541,COL,Colombia,2,Municipality,Pensilvania,17541
COL-17614,COL,Colombia,2,Municipality,Riosucio,17614
COL-17616,COL,Colombia,2,Municipality,Risaralda,17616
COL-17653,COL,Colombia,2,Municipality,Salamina,17653
COL-17662,COL,Colombia,2,Municipality,Samaná,17662
COL-17665,COL,Colombia,2,Municipality,San José,17665
COL-17777,COL,Colombia,2,Municipality,Supía,17777
COL-17867,COL,Colombia,2,Municipality,Victoria,17867
COL-17873,COL,Colombia,2,Municipality,Villamaría,17873
COL-17877,COL,Colombia,2,Municipality,Viterbo,17877
COL-18001,COL,Colombia,2,Municipality,Florencia,18001
COL-18029,COL,Colombia,2,Municipality,Albania,18029
COL-18094,COL,Colombia,2,Municipality,Belén de Los Andaquies,18094
COL-18150,COL,Colombia,2,Municipality,Cartagena del Chairá,18150
COL-18205,COL,Colombia,2,Municipality,Curillo,18205
COL-18247,COL,Colombia,2,Municipality,El Doncello,18247
COL-18256,COL,Colombia,2,Municipality,El Paujil,18256
COL-18410,COL,Colombia,2,Municipality,La Montañita,18410
COL-18460,COL,Colombia,2,Municipality,Milán,18460
COL-18479,COL,Colombia,2,Municipality,Morelia,18479
COL-18592,COL,Colombia,2,Municipality,Puerto Rico,18592
COL-18610,COL,Colombia,2,Municipality,San José del Fragua,18610
COL-18753,COL,Colombia,2,Municipality,San Vicente del Caguán,18753
COL-18756,COL,Colombia,2,Municipality,Solano,18756
COL-18785,COL,Colombia,2,Municipality,Solita,18785
COL-18860,COL,Colombia,2,Municipality,Valparaíso,18860
COL-19001,COL,Colombia,2,Municipality,Popayán,19001
COL-19022,COL,Colombia,2,Municipality,Almaguer,19022
COL-19050,COL,Colombia,2,Municipality,Argelia,19050
COL-19075,COL,Colombia,2,Municipality,Balboa,19075
COL-19100,COL,Colombia,2,Municipality,Bolívar,19100
COL-19110,COL,Colombia,2,Municipality,Buenos Aires,19110
COL-19130,COL,Colombia,2,Municipality,Cajibío,19130
COL-19137,COL,Colombia,2,Municipality,Caldono,19137
COL-19142,COL,Colombia,2,Municipality,Caloto,19142
COL-19212,COL,Colombia,2,Municipality,Corinto,19212
COL-19256,COL,Colombia,2,Municipality,El Tambo,19256
COL-19290,COL,Colombia,2,Municipality,Florencia,19290
COL-19300,COL,Colombia,2,Municipality,Guachené,19300
COL-19318,COL,Colombia,2,Municipality,Guapi,19318
COL-19355,COL,Colombia,2,Municipality,Inzá,19355
COL-19364,COL,Colombia,2,Municipality,Jambaló,19364
COL-19392,COL,Colombia,2,Municipality,La Sierra,19392
COL-19397,COL,Colombia,2,Municipality,La Vega,19397
COL-19418,COL,Colombia,2,Municipality,López,19418
COL-19450,COL,Colombia,2,Municipality,Mercaderes,19450
COL-19455,COL,Colombia,2,Municipality,Miranda,19455
COL-19473,COL,Colombia,2,Municipality,Morales,19473
COL-19513,COL,Colombia,2,Municipality,Padilla,19513
COL-19517,COL,Colombia,2,Municipality,Paez,19517
COL-19532,COL,Colombia,2,Municipality,Patía,19532
COL-19533,COL,Colombia,2,Municipality,Piamonte,19533
COL-19548,COL,Colombia,2,Municipality,Piendamó,19548
COL-19573,COL,Colombia,2,Municipality,Puerto Tejada,19573
COL-19585,COL,Colombia,2,Municipality,Puracé,19585
COL-19622,COL,Colombia,2,Municipality,Rosas,19622
COL-19693,COL,Colombia,2,Municipality,San Sebastián,19693
COL-19698,COL,Colombia,2,Municipality,Santander de Quilichao,19698
COL-19701,COL,Colombia,2,Municipality,Santa Rosa,19701
COL-19743,COL,Colombia,2,Municipality,Silvia,19743
COL-19760,COL,Colombia,2,Municipality,Sotara,19760
COL-19780,COL,Colombia,2,Municipality,Suárez,19780
COL-19785,COL,Colombia,2,Municipality,Sucre,19785
COL-19807,COL,Colombia,2,Municipality,Timbío,19807
COL-19809,COL,Colombia,2,Municipality,Timbiquí,19809
COL-19821,COL,Colombia,2,Municipality,Toribio,19821
COL-19824,COL,Colombia,2,Municipality,Totoró,19824
COL-19845,COL,Colombia,2,Municipality,Villa Rica,19845
COL-20001,COL,Colombia,2,Municipality,Valledupar,20001
COL-20011,COL,Colombia,2,Municipality,Aguachica,20011
COL-20013,COL,Colombia,2,Municipality,Agustín Codazzi,20013
COL-20032,COL,Colombia,2,Municipality,Astrea,20032
COL-20045,COL,Colombia,2,Municipality,Becerril,20045
COL-20060,COL,Colombia,2,Municipality,Bosconia,20060
COL-20175,COL,Colombia,2,Municipality,Chimichagua,20175
COL-20178,COL,Colombia,2,Municipality,Chiriguaná,20178
COL-20228,COL,Colombia,2,Municipality,Curumaní,20228
COL-20238,COL,Colombia,2,Municipality,El Copey,20238
COL-20250,COL,Colombia,2,Municipality,El Paso,20250
