"value","indID","period","region","dsID","source","is_number"
178020,"COL.B.POP.0001","1999-01-01","COL-1824","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
5443,"COL.B.POP.0002","1997-01-01","COL-1919","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
246,"COL.B.POP.0001","1997-01-01","COL-1081","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
21293,"COL.B.POP.0002","1997-01-01","COL-1171","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
10427,"COL.B.POP.0001","1998-01-01","COL-1654","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
1424,"COL.B.POP.0001","1997-01-01","COL-1088","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
10510,"COL.B.POP.0002","1997-01-01","COL-1607","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
0,"COL.B.POP.0001","1997-01-01","COL-2119","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
1994,"COL.B.POP.0001","1997-01-01","COL-1188","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
3006,"COL.B.POP.0002","1997-01-01","COL-1602","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
8173,"COL.B.POP.0001","1999-01-01","COL-2088","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
7114,"COL.B.POP.0001","1997-01-01","COL-899","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
12180,"COL.B.POP.0001","1998-01-01","COL-940","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
6402,"COL.B.POP.0002","1997-01-01","COL-1809","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
2226,"COL.B.POP.0001","1999-01-01","COL-2086","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
9633,"COL.B.POP.0002","1997-01-01","COL-1816","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
16228,"COL.B.POP.0002","1997-01-01","COL-1172","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
8645,"COL.B.POP.0001","1999-01-01","COL-1220","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
5969,"COL.B.POP.0002","1997-01-01","COL-1608","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
8369,"COL.B.POP.0001","1997-01-01","COL-849","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
20,"COL.B.UNK.0086","2011-10-30","COL-18","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
3965,"COL.B.POP.0001","1999-01-01","COL-1205","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
296,"COL.B.POP.0001","1997-01-01","COL-1207","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
7180,"COL.B.POP.0001","1997-01-01","COL-2033","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
5008,"COL.B.POP.0001","1999-01-01","COL-2126","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
3059,"COL.B.POP.0002","1997-01-01","COL-1797","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
3455,"COL.B.POP.0001","1997-01-01","COL-2034","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
1786,"COL.B.POP.0001","1998-01-01","COL-1657","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
4556,"COL.B.POP.0001","1997-01-01","COL-856","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
5170,"COL.B.POP.0002","1997-01-01","COL-1930","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
9169,"COL.B.POP.0002","1997-01-01","COL-1539","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
2954,"COL.B.POP.0001","1999-01-01","COL-1916","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
23996,"COL.B.POP.0002","1997-01-01","COL-1971","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
16027,"COL.B.POP.0002","1997-01-01","COL-1923","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
7184,"COL.B.POP.0001","1998-01-01","COL-862","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
16972,"COL.B.POP.0001","1997-01-01","COL-2121","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
6211,"COL.B.POP.0001","1999-01-01","COL-1907","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
3699,"COL.B.POP.0001","1999-01-01","COL-1210","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
21423,"COL.B.POP.0001","1997-01-01","COL-1934","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
16404,"COL.B.POP.0001","1999-01-01","COL-807","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
8066,"COL.B.POP.0001","1999-01-01","COL-2133","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
54602,"COL.B.POP.0001","1999-01-01","COL-2032","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
956,"COL.B.POP.0001","1997-01-01","COL-1078","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
1332,"COL.B.POP.0001","1997-01-01","COL-1377","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
1299,"COL.B.POP.0001","1998-01-01","COL-1394","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
12606,"COL.B.POP.0002","1997-01-01","COL-1086","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
4343,"COL.B.POP.0001","1997-01-01","COL-1062","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
16042,"COL.B.POP.0002","1997-01-01","COL-2123","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
2880,"COL.B.POP.0001","1998-01-01","COL-1272","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
1017,"COL.B.POP.0001","1997-01-01","COL-803","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
1172,"COL.B.POP.0001","1998-01-01","COL-1039","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
45907,"COL.B.POP.0001","1999-01-01","COL-1512","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
666,"COL.B.POP.0001","1998-01-01","COL-1063","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
21457,"COL.B.POP.0001","1998-01-01","COL-952","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
11339,"COL.B.POP.0001","1997-01-01","COL-1923","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
4668,"COL.B.POP.0001","1998-01-01","COL-1185","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
1397,"COL.B.POP.0001","1999-01-01","COL-1214","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
24402,"COL.B.POP.0001","1997-01-01","COL-2039","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
2319,"COL.B.POP.0002","1997-01-01","COL-1540","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
1550,"COL.B.POP.0001","1999-01-01","COL-1825","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
3341,"COL.B.POP.0002","1997-01-01","COL-1970","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
12620,"COL.B.POP.0002","1997-01-01","COL-1812","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
858,"COL.B.POP.0001","1999-01-01","COL-1216","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
13.33,"COL.B.UNK.0086","2007-10-28","COL-17","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
517,"COL.B.POP.0001","1998-01-01","COL-1093","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
21252,"COL.B.POP.0001","1999-01-01","COL-1998","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
3928,"COL.B.POP.0001","1999-01-01","COL-2064","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
11544,"COL.B.POP.0001","1997-01-01","COL-1208","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
2910,"COL.B.POP.0001","1999-01-01","COL-1639","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
22797,"COL.B.POP.0001","1999-01-01","COL-926","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
9643,"COL.B.POP.0001","1997-01-01","COL-806","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
18122,"COL.B.POP.0002","1997-01-01","COL-1437","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
7646,"COL.B.POP.0002","1997-01-01","COL-1463","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
4657,"COL.B.POP.0001","1998-01-01","COL-821","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
16163,"COL.B.POP.0002","1997-01-01","COL-2111","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
10028,"COL.B.POP.0002","1997-01-01","COL-1087","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
2522,"COL.B.POP.0001","1999-01-01","COL-1664","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
14103,"COL.B.POP.0002","1997-01-01","COL-1397","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
11600,"COL.B.POP.0001","1997-01-01","COL-1159","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
29634,"COL.B.POP.0001","1999-01-01","COL-1511","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
8801,"COL.B.POP.0002","1997-01-01","COL-1272","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
2027,"COL.B.POP.0001","1998-01-01","COL-816","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
4187,"COL.B.POP.0001","1997-01-01","COL-1288","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
16164,"COL.B.POP.0001","1999-01-01","COL-919","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
1615,"COL.B.POP.0001","1997-01-01","COL-854","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
873,"COL.B.POP.0001","1998-01-01","COL-1540","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
82990,"COL.B.POP.0001","1998-01-01","COL-939","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
2991,"COL.B.POP.0002","1997-01-01","COL-1484","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
7157,"COL.B.POP.0002","1997-01-01","COL-1466","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
11043,"COL.B.POP.0001","1997-01-01","COL-811","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
7851,"COL.B.POP.0001","1998-01-01","COL-1153","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
3884,"COL.B.POP.0001","1999-01-01","COL-2065","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
827,"COL.B.POP.0001","1997-01-01","COL-1612","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
54995,"COL.B.POP.0001","1998-01-01","COL-827","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
0,"COL.B.POP.0001","1999-01-01","COL-2109","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
4587,"COL.B.POP.0001","1999-01-01","COL-1510","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
2529,"COL.B.POP.0001","1997-01-01","COL-890","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
3696,"COL.B.POP.0001","1997-01-01","COL-1293","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
42635,"COL.B.POP.0001","1999-01-01","COL-917","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
4929,"COL.B.POP.0001","1998-01-01","COL-1398","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
13039,"COL.B.POP.0001","1998-01-01","COL-951","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
10404,"COL.B.POP.0001","1997-01-01","COL-943","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
1903,"COL.B.POP.0001","1997-01-01","COL-871","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
1177,"COL.B.POP.0001","1997-01-01","COL-1651","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
15317,"COL.B.POP.0002","1997-01-01","COL-1967","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
1618,"COL.B.POP.0001","1997-01-01","COL-1607","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
1730,"COL.B.POP.0001","1999-01-01","COL-2107","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
2123,"COL.B.POP.0001","1997-01-01","COL-1419","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
1350,"COL.B.POP.0001","1999-01-01","COL-1608","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
40277,"COL.B.POP.0001","1998-01-01","COL-864","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
10467,"COL.B.POP.0002","1997-01-01","COL-1092","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
6974,"COL.B.POP.0001","1998-01-01","COL-866","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
2450,"COL.B.POP.0001","1997-01-01","COL-1656","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
17918,"COL.B.POP.0002","1997-01-01","COL-1465","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
10909,"COL.B.POP.0002","1997-01-01","COL-1175","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
2956,"COL.B.POP.0001","1998-01-01","COL-942","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
